All,모두
"Specify the product's options.","상품 옵션을 지정해 주십시오."
"Alert me when this item is available.","상품이 구매가능해지면 알려주십시오."
"We can't find this customer.","이 고객을 찾을 수 없습니다."
"Shopping cart management is disabled for this customer.","해당 고객은 장바구니 관리를 사용할 수 없습니다."
"We can't find this store.","이 상점을 찾을 수 없습니다."
Customers,고객
"Shopping Cart",장바구니
"Sorry, something went wrong. You can find out more in the error log.","죄송합니다, 문제가 발생했습니다. 에러 로그에서 자세한 사항을 확인하십시오."
"You do not have access to this.","접근할 수 없습니다."
"Ordered item id is not received.","주문한 상품 Id를 받지 못했습니다."
"Ordered item is not loaded.","주문한 상품을 불러오지 못했습니다."
"Quote item id is not received.","견적 항목의 id를 받지 못했습니다."
"Quote item is not loaded.","견적 항목이 로드되지 않았습니다."
"The wish list item id is not received.","위시 리스트 항목의 id를 받지 못했습니다."
"The wish list item is not loaded.","위시 리스트 항목을 로드하지 못했습니다."
"An error has occurred. See error log for details.","오류가 발생했습니다. 자세한 내용은 에러 로그를 참조하십시오."
"You cannot configure a product.","상품을 설정할 수 없습니다."
"You removed the items.","항목을 삭제했습니다."
"You removed the item.","항목을 삭제했습니다."
"You added %1 to your shopping cart.","장바구니에 %1을 추가했습니다."
"You cannot add a product.","상품을 추가할 수 없습니다."
"Order by SKU","SKU로 정렬"
"The SKU was not found in the catalog.","SKU를 찾을 수 없습니다."
"Availability: Out of stock.","재고여부: 품절"
"We don't have as many of these as you want.","요구하는 것에 비해 수량이 부족합니다."
"You can't add this many to your cart.","장바구니에 이정도 많이 추가할 수 없습니다."
"You need to choose options for your item.","상품 옵션을 선택해야 합니다."
"We can't add the item to your cart.","장바구니에 항목을 추가할 수 없습니다."
"Please enter an actual number in the ""Qty"" field.","""수량""에는 실제 숫자를 입력해 주십시오."
"This product is assigned to another website.","이 상품은 다른 웹사이트에 할당됩니다."
"You can add only enabled products.","구매 가능한 상품만 추가할 수 있습니다."
"You cannot upload this file.","파일을 업로드 할 수 없습니다."
"The file is empty.","파일이 비어있습니다."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","상품 SKU를 입력하지 않았습니다. <a href=""%1"">여기를 클릭</a>하여 SKU로 상품을 추가해주세요."
"You have not entered a product SKU.","상품 SKU를 입력하지 않았습니다."
"We can't add a product to cart by id ""%1"".","ID ""%1"" 로 상품을 추가 할 수 없습니다."
"Something went wrong while reordering this product.","상품을 재주문하는 동안 뭔가 문제가 발생했습니다."
"You added %1 product to your shopping cart.","장바구니에 %1 상품을 추가했습니다."
"You added %1 products to your shopping cart.","장바구니에 %1 상품을 추가했습니다."
"%1 product requires your attention.","%1 상품은 주의가 필요합니다."
"%1 products require your attention.","%1 상품은 주의가 필요합니다."
"Yes, for Specified Customer Groups","예, 지정된 고급 그룹만 사용"
"Yes, for Everyone","예, 모두 사용"
No,아니오
"The file is corrupt.","파일이 손상되었습니다."
"Please upload the file in .csv format.",".csv 형식의 파일을 업로드해주세요."
"%1 item(s) need your attention.","%1 항목은 주의가 필요합니다."
"Apply Coupon Code","쿠폰 코드 적용"
"Remove Coupon Code","쿠폰 코드 삭제"
"The coupon code ""%1"" is not valid.","쿠폰 코드 ""%1""이(가) 올바르지 않습니다."
"Shopping Cart Items","장바구니 항목"
Qty,수량
Subtotal,소계
Discount,할인
"Row Subtotal","행 소계"
Action,동작
"No ordered items","주문 항목 없음"
"Total %1 product(s)","총 %1종 상품"
Subtotal:,소계:
"Please select",선택하세요
"Move to Wish List","위시리스트로 이동"
"No item specified.","지정된 항목이 없습니다."
"Are you sure you want to remove this item?","정말로 이 항목을 삭제하시겠습니까?"
"SKU number","SKU 번호"
"Upload File","파일 업로드"
"Your csv file must include ""sku"" and ""qty"" columns.","csv 파일에 반드시 ""sku""와 ""qty"" 컬럼이 있어야 합니다."
Reset,초기화
"Only <span id=""%1_max_allowed"">%2</span> in stock","<span id=""%1_max_allowed"">%2</span>만 재고있음"
Item,항목
"See price before order confirmation.","판매가를 잘 확인하신 후 주문을 확정해주세요."
"What's this?","이게 뭐죠?"
"Incl. Tax","세금 포함"
"Excl. Tax","세금 제외"
"Edit item parameters","항목 매개 변수 수정"
Edit,수정
"Remove item","항목 삭제"
"Products Requiring Attention","주의 필요 상품"
"Add to Cart","장바구니에 추가"
File,파일
"File extensions allowed: .csv","허용되는 파일 확장자: .csv"
"Add Row","행 추가"
"Remove Row","열 삭제"
"Add Products By SKU","SKU로 상품 추가"
"Shopping Cart Management","장바구니 관리"
"View Shopping Cart","장바구니 보기"
"View and modify Shopping Cart","장바구니 보기 및 수정"
"Order by SKU Settings","SKU로 주문 설정"
"Enable Order by SKU on My Account in Storefront","스토어프론트의 내 계정에서 SKU로 주문 활성화"
"Customer Groups","고객 그룹"
"Apply Coupon","쿠폰 적용"
"Order by SKU Description","SKU로 주문 설명"
"Display a Link to Loading a Spreadsheet","스프래드시트를 불러올 링크 표시"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","내 계정 &gt; SKU로 주문 페이지 링크를 위젯에 표시할 지 여부를 정의"
"Link Text","링크 텍스트"
"The text of the link to the My Account &gt; Order by SKU page","내 계정 &gt; SKU로 주문 페이지 링크의 텍스트"
"Load a list of SKUs","SKU 목록 불러오기"
"Order by SKU Template","SKU 주문 템플릿"
"SKU not found in catalog.","카탈로그에서 SKU를 찾지 못했습니다."
"Please correct the data sent.","전송될 데이터를 수정해주십시오."
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","엔터티 타입 모델은 반드시 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType의 인스턴스여야 합니다."
"There are no product types available for export","내보낼 수 있는 상품 타입이 없습니다."
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 클래스가 \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface를 구현하고 있지 않습니다"
"Sales Rule","판매 규칙"
"Index sales rule","판매 규칙 인덱스"
"Related Search Terms","연관 검색어"
"Add New Search Term","신규 검색어 추가"
button_label,"버튼 라벨"
"Missing search engine parameter.","검색엔진 파라메터가 누락됐습니다."
"Successful! Test again?","성공! 다시 테스트하시겠습니까?"
"Connection failed! Test again?","연결 실패! 다시 테스트하시겠습니까?"
"Enable Search Recommendations","검색 추천 활성화"
"When you enable this option your site may slow down.","해당 옵션을 활성화 시키면 사이트 속도가 느려질 수 있습니다."
"Search Recommendations Count","검색 추천 수"
"Show Results Count for Each Recommendation","각 추천에 대한 결과 수 표시"
"Enable Search Suggestions","검색 제안 활성화"
"Search Suggestions Count","검색 제안 수"
"Show Results Count for Each Suggestion","각 제안에 대한 결과 수 표시"
"Related search terms","연관 검색어"
"Did you mean","이것을 찾으셨나요?"
"Search Query","검색 쿼리"
Store,스토어
Results,결과
Uses,사용횟수
"Redirect URL","리디렉션 URL"
"Suggested Term","제안된 검색어"
Yes,네
"RPC call failed, connection timed out after %time_out.","RPC 호출에 실패했습니다. %time_out후에 연결이 끊어집니다."
"Message has been rejected: %1","메세지가 거부되었습니다: %1"
"Error while checking if topic is synchronous","주제는 동기 확인 중 오류 발생"
"Subscription status","가입 상태"
"Sorry, there has been an error processing your request. Please try again later.","작업도중 오류가 발생 했습니다. 다시 시도해 주십시오"
"Cron settings can't be saved","Cron 설정은 저장할 수 없습니다."
"There was an error save new configuration value.","새 구성 값 저장 오류가 발생 했습니다."
"--Please Select--","--선택해 주십시오--"
"Command was not found.","명령을 찾을 수 없습니다."
"These arguments can't be empty ""%1""","이 인수는 비어있는 ""%1"" 될 수 없습니다."
"Cannot find predefined integration user!","미리 정의 된 통합 사용자를 찾을 수 없습니다!"
"File is not ready yet.","아직 파일이 준비 되지 않습니다."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","귀하의 기본 URL을 변경 하 고 보고서 업데이트 되 고. 고급 보고가이 변경 처리 되 면 가능할 것 이다. 나중에 다시 시도 하십시오."
"Failed to synchronize data to the Magento Business Intelligence service. ","Magento 비즈니스 인텔리전스 서비스 데이터를 동기화 하지 못했습니다. "
"Apps and Games","애플 리 케이 션 및 게임"
"Athletic/Sporting Goods","체육/스포츠 용품"
"Art and Design","미술 및 디자인"
"Advanced Reporting","고급 보고"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","새로운 통찰력을 얻고, 고객 데이터에 맞게 우리의 동적 제품, 주문 및 고객 보고서를 사용 하 여 귀하의 비즈니스의 수행 명령을 갖는다"
"Go to Advanced Reporting","이동 고급 보고"
Analytics,분석
Configuration,환경설정
"Business Intelligence","비즈니스 인텔리전스"
"BI Essentials","양방향의 요점"
"Advanced Reporting Service","고급 보고 서비스"
"Time of day to send data","데이터를 보내는 시간"
Industry,업종
"In order to personalize your Advanced Reporting experience, please select your industry.","당신의 고급  보고 경험을 개인화 하기 위해 업종를 선택 하십시오."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento 비즈니스 인텔리전스</strong>에서 더 많은 통찰력을 얻을"
"Auto Parts","자동차 부품"
"Baby/Children’s Apparel, Gear and Toys","아기/어린이 의류, 장비 및 장난감"
"Beauty and Cosmetics","아름다움과 화장품"
"Books, Music and Magazines","책, 음악, 잡지"
"Crafts and Stationery","공예 및 문구"
"Consumer Electronics","가전 제품"
"Deal Site","거래 사이트"
"Fashion Apparel and Accessories","패션 의류 및 액세서리"
"Food, Beverage and Grocery","식품, 음료 및 식료품"
"Home Goods and Furniture","가정 용품 및 가구"
"Home Improvement","집 개선"
"Jewelry and Watches","보석과 시계"
"Mass Merchant","대량 상인"
"Office Supplies","사무 용품"
"Outdoor and Camping Gear","야외 캠핑 장비"
"Pet Goods","애완 동물 상품"
"Pharma and Medical Devices","제약 및 의료 기기"
Done,완료
"Something went wrong while processing the request.","요청을 처리하는 도중 문제가 발생했습니다."
Details,"상세 정보"
"View Details","자세히 보기"
Summary,제목
"Start Time","시작 시간"
Status,상태
Error,에러
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","허용된 리소스 리스트를 컴파일하는 도중 문제가 발생했습니다. 예외 로그에서 더 많은 정보를 찾을 수 있습니다."
"You created the order.","주문을 생성했습니다."
"Order saving error: %1","주문 저장 에러: %1"
"Please choose a payment method.","결제방법을 선택해 주십시오."
"We can't process your order right now. Please try again later.","주문을 처리할 수 없습니다. 나중에 다시 시도 하십시오."
"Credit Card: xxxx-%1","신용 카드: xxxx-%1"
"amount %1","금액 %1"
failed.,실패.
successful.,성공.
"Authorize.Net Transaction ID %1.","Authorize.Net 트랜젝션 ID %1."
authorize,인증
capture,캡처
refund,환불
void,무효
"Gateway error: %1","게이트웨이 에러: %1"
"Something went wrong in the payment gateway.","결제 게이트웨이에서 문제가 발생했습니다."
"Invalid amount for capture.","잘못된 캡쳐 금액입니다."
"Payment capturing error.","결제 캡쳐 오류."
"Invalid transaction ID.","잘못된 트렌젝션 ID."
"Payment voiding error.","결제 무효 에러."
"Invalid amount for refund.","잘못된 환불 금액."
"Payment refunding error.","결제 환불 에러."
"The transaction was declined because the response hash validation failed.","응답 해시의 확인 실패로 트랜잭션이 거부되었습니다."
"There was a payment authorization error.","결제 인증 에러가 발생했습니다."
"Please enter a transaction ID to authorize this payment.","해당 결제를 인증하기 위한 트랜잭션 ID를 입력해 주십시오."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","트랜잭션 %1이(가) 허가되었습니다. 금액 %2. 트랜잭션 상태는 ""%3"" 입니다."
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","트랜잭션 %1이(가) 무효/거부되었습니다. 트랜잭션 상태는 ""%2"" 입니다. 금액 %3."
"Authorize Only",인증만
"Authorize and Capture","인증과 캡쳐"
"Unable to get transaction details. Try again later.","트랜잭션 상세 정보를 불러올 수 없습니다. 나중에 다시 시도합니다."
"Electronic payments save the trees.","전자 지불"
"Credit Card Type","신용카드 타입"
"Please Select",선택하세요
"Credit Card Number","신용카드 번호"
"Expiration Date",유효기간
"Card Verification Number","카드 인증 번호"
"Fraud Detection ","사기 탐지 "
"FDS Filter Action","FDS 필터 동작"
"AVS Response","AVS 응답"
"Card Code Response","카드 코드 응답"
"CAVV Response","CAVV 응답"
"Fraud Filters","사기 필터"
"Place Order",주문하기
"Sorry, but something went wrong. Please contact the seller.","죄송 합니다, 하지만 뭔가 잘못 되었다. 판매자에 게 연락 하십시오."
Enabled,활성화
"Payment Action","결제 방법"
Title,타이틀
"API Login ID","API 로그인 ID"
"Transaction Key","트랜잭션 키"
"New Order Status","새 주문 진행상태"
"Test Mode","테스트 모드"
"Gateway URL","게이트웨이 URL"
"Transaction Details URL","트랜잭션 상세 URL"
"Accepted Currency","허용된 통화"
Debug,디버그
"Email Customer","이메일 고객"
"Merchant's Email","Merchant 이메일"
"Credit Card Types","신용카드 타입"
"Credit Card Verification","신용카드 확인"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Minimum Order Total","최소 주문 합계"
"Maximum Order Total","최대 주문 합계"
"Sort Order","정렬 순서"
"Cannot place order.","주문을 진행할 수 없습니다."
"Unable to place order. Please try again later.","주문을 진행할 수 없습니다. 나중에 다시 시도 하십시오."
Environment,환경
"Transaction has been declined. Please try again later.","결제요청이 거절 되었습니다. 나중에 다시 시도 하십시오."
options,옵션
"Select all","모두 선택"
"Deselect all","선택 모두 취소"
"%s of %s selected","%s 중 %s 선택 됨"
"B2B Features","B2B 기능"
"Invalid Form Key. Please refresh the page.","잘못된 폼키 입니다. 페이지를 리로드 해주십시오."
"You entered an invalid Secret Key. Please refresh the page.","잘못된 비밀키를 입력했습니다. 페이지를 리로드해 주십시오."
"Cache Storage Management","캐시 저장소 관리"
"Flush Magento Cache","마젠토 캐시 비우기"
"The cache storage may contain additional data. Are you sure that you want to flush it?","캐시 저장소에는 추가 데이터가 포함되어 있을 수 있습니다. 정말 비우시겠습니까?"
"Flush Cache Storage","캐시 저장소 비우기"
Invalidated,"잘못된 날짜"
Orders,주문
Amounts,금액
Bestsellers,"베스트 셀러"
"Most Viewed Products","가장 많이 본 상품"
"New Customers","신규 고객"
Customer,고객
Guest,비회원
Items,항목
Total,총합계
"Lifetime Sales","총 판매"
"Average Order","평균 주문"
Average,평균
Views,보기
Revenue,수익
Tax,세금
Shipping,배송료
"Images (.gif, .jpg, .png)","이미지 (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","미디어 (.avi,.flv,.swf)"
"All Files","모든 파일"
"Reset to Default","기본값으로 재설정"
"All Store Views","모든 스토어뷰"
"What is this?","이게 뭐죠?"
"Save Account","계정 저장"
"My Account","내 계정"
"Account Information","계정 정보"
"User Name","사용자 이름"
"First Name",이름
"Last Name",성
Email,"이메일 주소"
"User Email","사용자 이메일"
"New Password","새로운 비밀번호"
"Password Confirmation","비밀번호 확인"
"Interface Locale","인터페이스 언어"
"Current User Identity Verification","현재 사용자 신원 확인"
"Your Password",비밀번호
"Save Cache Settings","캐시 설정 저장"
"Catalog Rewrites","카탈로그 다시 작성"
Refresh,새로고침
"Images Cache","이미지 캐시"
Clear,지우기
"Search Index","검색 색인"
Rebuild,리빌드
"Inventory Stock Status","재고 상태"
"Rebuild Catalog Index","카탈로그 인덱스 리빌드"
"Rebuild Flat Catalog Category","플랫 카탈로그 카테고리 리빌드"
"Rebuild Flat Catalog Product","플랫 카탈로그 카테고리 상품"
"Cache Control","캐시 제어"
"All Cache","모든 캐시"
"No change","변화 없음"
Disable,비활성
Enable,활성
"Add Design Change","디자인 변경 추가"
Delete,삭제
Save,저장
"Edit Design Change","디자인 변경 수정"
"New Store Design Change","신규 스토어 디자인 변경"
"General Settings","일반 설정"
"-- Please Select --",--선택하세요--
"Custom Design","커스텀 디자인"
"Date From","시작 날짜"
"Date To","종료 날짜"
"Design Change","디자인 변경"
General,일반
"Delete %1 '%2'","%1 '%2' 삭제"
"Delete %1","%1 삭제"
"Block Information","블럭 정보"
"Backup Options","백업 옵션"
"Create DB Backup","DB 백업 생성"
"Delete Store","스토어 삭제"
"Delete Web Site","웹사이트 삭제"
"Save Web Site","웹사이트 저장"
"Save Store","스토어 저장"
"Save Store View","스토어뷰 저장"
"Delete Store View","스토어뷰 삭제"
"Edit Web Site","웹사이트 수정"
"New Web Site","신규 웹사이트"
"Edit Store","스토어 수정"
"New Store","신규 스토어"
"Edit Store View","스토어뷰 수정"
"New Store View","신규 스토어뷰"
"Store Information","스토어 정보"
"Web Site",웹사이트
Name,"이름 "
Code,코드
"Root Category","최상위 카테고리 추가"
"Default Store View","기본 스토어뷰"
"Store View Information","스토어뷰 정보"
Disabled,비활성화
"Web Site Information","웹사이트 정보"
"Default Store","기본 스토어"
"Set as Default","기본값으로 설정"
Stores,스토어
"Create Website","웹사이트 생성"
"Create Store","스토어 생성"
"Create Store View","스토어뷰 생성"
Home,"홈 "
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Add New Image","신규 이미지 추가"
"Export block for grid %1 is not defined","그리드 %1 에 대 한 수출 블록 정의 되지 않은"
"Reset Filter","필터 재설정"
Search,검색
Any,모든
"All Countries","모든 국가"
From,"보낸 사람"
To,"받는 사람"
"Date selector","날짜 선택기"
"[ deleted ]","[ 삭제됨 ]"
"Select All","모두 선택"
" [deleted]"," [삭제됨]"
"Add New","신규 추가"
"Invalid export type supplied for grid export block","그리드 내보내기 블록에 대한 제공 하는 잘못 된 보내기 형식"
Export,내보내기
"Please correct the column format and try again.","열 서식을 수정하고 다시 시도해 주십시오."
"Please select items.","선택 하세요."
Submit,전송
"Unknown block type","알 수없는 블록 타입"
"Please correct the tab configuration and try again. Tab Id should be not empty","탭 구성을 수정하고 다시 시도하십시오. 탭 Id는 비어 있어서는 안됩니다."
"Please correct the tab configuration and try again.","탭 구성을 수정하고 다시 시도하십시오."
"You have logged out.",로그아웃했습니다.
"The image cache was cleaned.","이미지 캐시를 비웠습니다."
"An error occurred while clearing the image cache.","이미지 캐시를 비우는 도중 에러가 발생했습니다."
"The JavaScript/CSS cache has been cleaned.","자바스크립트/CSS 캐시를 비웠습니다."
"An error occurred while clearing the JavaScript/CSS cache.","자바스크립트/CSS 캐시를 삭제하는 도중 에러가 발생 했습니다."
"The static files cache has been cleaned.","정적 파일 캐시를 비웠습니다."
"You flushed the cache storage.","캐시 저장소를 비웠습니다."
"The Magento cache storage has been flushed.","마젠토 캐시 저장소를 비웠습니다."
"Cache Management","캐시 관리"
"You can't change status of cache type(s) in production mode","프로덕션 모드에서 캐시 파트의 상태를 변경할 수 없습니다."
"%1 cache type(s) disabled.","%1 캐시 타입이 비활성화 되었습니다."
"An error occurred while disabling cache.","캐시 비활성화 도중 에러가 발생했습니다."
"%1 cache type(s) enabled.","%1 캐시 타입이 활성화 되었습니다."
"An error occurred while enabling cache.","캐시 활성화 도중 에러가 발생했습니다."
"%1 cache type(s) refreshed.","%1 캐시 타입이 갱신되었습니다."
"An error occurred while refreshing cache.","캐시 갱신 도중 에러가 발생했습니다."
Dashboard,대시보드
"We updated lifetime statistic.","총 통계를 업데이트 했습니다."
"invalid request","잘못된 요청"
"see error log for details","자세한 내용은 에러 로그를 참조하십시오"
"Service unavailable: %1","서비스 사용할 수 없음: %1"
"Access Denied.","액세스 거부됨"
"You need more permissions to do this.","권한이 없습니다."
"No search modules were registered","검색 모듈이 등록되지 않았습니다"
"Please make sure that all global admin search modules are installed and activated.","모든 글로벌 관리자 검색 모듈이 설치되고 활성화되었는지 확인하십시오."
"You saved the account.","계정을 저장했습니다."
"An error occurred while saving account.","계정 저장중 에러가 발생했습니다."
"You deleted the design change.","디자인 변경을 삭제했습니다."
"You can't delete the design change.","디자인 변경을 삭제할 수 없습니다."
"Store Design","스토어 디자인"
"Edit Store Design Change","스토어 디자인 변경 수정"
"You saved the design change.","디자인 변경을 저장했습니다."
System,시스템
"Manage Stores","스토어 관리"
"The database was backed up.","데이터베이스가 백업되었습니다."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","%1 을 삭제 해도 %1 (예: 범주, 제품, 등)와 관련 된 정보는 삭제 되지 않습니다 하지만 %1 복원할 수 없습니다. 그것은 %1을 삭제 하기 전에 데이터베이스 백업을 만드는 좋습니다."
"Something went wrong. Please try again.","문제가 발생했습니다. 다시 시도해 주십시오."
"This store cannot be deleted.","해당 스토어는 삭제할 수 없습니다."
"You deleted the store.","스토어를 삭제하였습니다."
"Unable to delete the store. Please try again later.","스토어를 삭제할 수 없습니다. 잠시후 다시 시도해 주십시오."
"This store view cannot be deleted.","해당 스토어뷰는 삭제할 수 없습니다."
"Store View",스토어뷰
"You deleted the store view.","스토어뷰를 삭제하였습니다."
"Unable to delete the store view. Please try again later.","스토어뷰를 삭제할 수 없습니다. 잠시후 다시 시도해 주십시오."
"This website cannot be deleted.","해당 웹사이트는 삭제할 수 없습니다."
"You deleted the website.","웹사이트를 삭제했습니다."
"Unable to delete the website. Please try again later.","웹사이트를 삭제할 수 없습니다. 잠시후 다시 시도해 주십시오."
"The website does not exist.","웹사이트가 존재하지 않습니다."
"Before modifying the website code please make sure it is not used in index.php.","웹사이트 코드를 수정하기 전에 index.php 파일에서 사용되고 있지 않은지 반드시 확인해 주시기 바랍니다."
"The store does not exist","스토어가 존재하지 않습니다."
"Store view doesn't exist","스토어뷰가 존재하지 않습니다."
"Before modifying the store view code please make sure it is not used in index.php.","스토어뷰 코드를 수정하기 전에 index.php 파일에서 사용되고 있지 않은지 반드시 확인해 주시기 바랍니다."
"New ","신규 "
"All Stores","모든 스토어"
"You saved the website.","웹사이트를 저장했습니다."
"The default store cannot be disabled","기본 스토어는 비활성화될 수 없습니다."
"You saved the store view.","스토어뷰를 저장했습니다."
"An inactive store view cannot be saved as default store view","비활성화된 스토어뷰는 기본 스토어뷰가 될 수 없습니다."
"You saved the store.","스토어를 저장했습니다."
"Something went wrong while saving. Please review the error log.","저장중 문제가 발생했습니다. 에러 로그를 확인해 주십시오."
